"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","id","bioid","name","gender","type","party"
"jefffortenberry","18805303","JeffFortenberry","Jeff Fortenberry","U.S. Representative for the First Congressional District of Nebraska",10333,1525,2172,"Fri Jan 09 16:14:19 +0000 2009","Lincoln, NE / Washington, D.C.","01793","F000449","Jeff Fortenberry","M","Congress","Republican"
"jerrymoran","18632666","JerryMoran","Jerry Moran","Proud to represent Kansans in the United States Senate",18837,3083,3005,"Mon Jan 05 14:25:22 +0000 2009","Kansas","01507","M000934","Jerry Moran","M","Congress","Republican"
"jim_jordan","18166778","Jim_Jordan","Rep. Jim Jordan","Proudly serving Ohio's beautiful fourth district.",20683,1368,5239,"Tue Dec 16 17:20:24 +0000 2008","Washington, D.C. ","01868","J000289","Jim Jordan","M","Congress","Republican"
"jimlangevin","18909919","jimlangevin","Jim Langevin","Congressman for Rhode Island's   Second District",10246,4241,3154,"Mon Jan 12 18:36:58 +0000 2009","Warwick, RI and Washington, DC","01668","L000559","James R. Langevin","M","Congress","Democrat"
"jimpressoffice","851621377","JimPressOffice","Sensenbrenner Press","Press Office of Congressman Jim Sensenbrenner, representing Wisconsin's Fifth District. Former Chair of House Judiciary Committee.",2018,226,249,"Fri Sep 28 19:31:33 +0000 2012","","01041","S000244","F. James Sensenbrenner Jr.","M","Congress","Republican"
"jimwebbusa","2746932876","JimWebbUSA","Jim Webb","Public Servant, Warrior, Author, and Film Maker

The Jim Webb 2016 Exploratory Committee.",8172,366,5785,"Tue Aug 19 22:21:32 +0000 2014","",NA,NA,NA,NA,"Primary Candidate","Democrat"
"joaquincastrotx","231510077","JoaquinCastrotx","Joaquin Castro ","Texas Congressman",27475,4513,642,"Tue Dec 28 18:41:02 +0000 2010","San Antonio, Texas","02163","C001091","Joaquin Castro","M","Congress","Democrat"
"johnboozman","5558312","JohnBoozman","Senator John Boozman","Representing Arkansas in the U.S. Senate.  Contact Info: 202-224-4843",22973,1750,576,"Fri Apr 27 16:05:52 +0000 2007","Arkansas","01687","B001236","John Boozman","M","Congress","Republican"
"johncarneyde","237770636","JohnCarneyDE","Rep. John Carney","Official Twitter page for U.S. Representative John Carney (D-DE). http://t.co/tdz4voj10e",8517,1399,1082,"Thu Jan 13 15:58:13 +0000 2011","Delaware and Washington, D.C.","01999","C001083","John C. Carney Jr.","M","Congress","Democrat"
"johncornyn","13218102","JohnCornyn","JohnCornyn","Honored to represent Texas in the US Senate.",67254,16268,9741,"Thu Feb 07 19:52:55 +0000 2008","Austin, Texas","01692","C001056","John Cornyn","M","Congress","Republican"
"johnkasich","18020081","JohnKasich","John Kasich","Husband, Dad, and Governor of Ohio.",71404,4626,8913,"Wed Dec 10 14:33:27 +0000 2008","Westerville, Ohio",NA,NA,NA,NA,"Primary Candidate","Republican"
"judgecarter","18030431","JudgeCarter","JudgeCarter","I'm a U.S. Congressman in the 31st District Texas, Chairman of the Homeland Security Appropriations Subcommittee and a former Texas Judge.",10989,4505,3024,"Wed Dec 10 21:00:58 +0000 2008","Washington, DC Round Rock, TX","01752","C001051","John R. Carter","M","Congress","Republican"
"judgetedpoe","74198348","JudgeTedPoe","Ted Poe","Member of Congress, representing the second district of the great state of Texas",13424,2624,501,"Mon Sep 14 16:40:24 +0000 2009","Humble, Texas","01802","P000592","Ted Poe","M","Congress","Republican"
"keithellison","14135426","keithellison","Rep. Keith Ellison","Member of Congress from Minnesota's Fifth District. Co-Chair, @USProgressives",63876,11403,3806,"Wed Mar 12 21:38:12 +0000 2008","Minneapolis — Washington, D.C.","01857","E000288","Keith Ellison","M","Congress","Democrat"
"keithrothfus","1155212191","KeithRothfus","Keith Rothfus","Thank you for visiting my official Twitter account. I proudly represent and serve Pennsylvania's Twelfth Congressional District.",2620,3166,483,"Wed Feb 06 21:51:36 +0000 2013","","02158","R000598","Keith J. Rothfus","M","Congress","Republican"
"kencalvert","22545491","KenCalvert","Ken Calvert","Official Twitter Account for U.S. Representative Ken Calvert (CA-42)",5282,2692,227,"Mon Mar 02 22:30:20 +0000 2009","Corona, CA ","00165","C000059","Ken Calvert","M","Congress","Republican"
"lamarsmithtx21","15856366","LamarSmithTX21","Lamar Smith","I represent the 21st District of TX in Congress & Chair the Science, Space, and Technology Committee. Join me: http://t.co/Tbx0d5Iq",13231,1313,3628,"Thu Aug 14 21:53:40 +0000 2008","TX21","01075","S000583","Lamar Smith","M","Congress","Republican"
"lincolnchafee","89781370","LincolnChafee","Lincoln Chafee","Fighting for our middle class and ensuring good jobs for America; committed to economic fairness, public education and the environment. http://t.co/dIQAlREM5T",16227,3250,498,"Fri Nov 13 20:08:23 +0000 2009","Rhode Island",NA,NA,NA,NA,"Primary Candidate","Democrat"
"lisamurkowski","18061669","lisamurkowski","Sen. Lisa Murkowski","Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.",30082,2855,490,"Thu Dec 11 21:55:19 +0000 2008","Alaska & Washington, D.C.","01694","M001153","Lisa Murkowski","F","Congress","Republican"
"lorettasanchez","108376246","LorettaSanchez","Loretta Sanchez","I proudly represent California's 46th district in Congress. I serve as a Senior Member on both the Armed Services and Homeland Security Committees.",16318,1914,14122,"Mon Jan 25 19:08:10 +0000 2010","Orange County, CA","01522","S000030","Loretta Sanchez","F","Congress","Democrat"
"louiseslaughter","63169388","louiseslaughter","Louise Slaughter","Honored to serve the people of Rochester and Monroe County, NY. Only microbiologist in Congress and Ranking Member of the House Committee on Rules.",11201,1906,1451,"Wed Aug 05 15:53:07 +0000 2009","NY-25","01069","S000480","Louise McIntosh Slaughter","F","Congress","Democrat"
"luisgutierrez","322013313","LuisGutierrez","Luis V. Gutierrez","Political account of Luis V. Gutierrez, Member of Congress from Illinois, immigration reform leader in the House, and author of Still Dreaming.",478,19,23,"Wed Jun 22 14:11:23 +0000 2011","","00478","G000535","Luis V. Gutiérrez","M","Congress","Democrat"
"mactxpress","377534571","MacTXPress","Mac Thornberry Press","Tweets from the press shop of US Rep. Mac Thornberry. Mac serves the 13th District of TX, which spans from Amarillo to Wichita Falls & is larger than 13 states.",3901,445,923,"Wed Sep 21 18:42:06 +0000 2011","United States Capitol","01155","T000238","Mac Thornberry","M","Congress","Republican"
"marcorubio","15745368","marcorubio","Marco Rubio","I'm running for President of the United States of America. #newamericancentury",742729,2547,2776,"Wed Aug 06 03:07:06 +0000 2008","US of A",NA,NA,NA,NA,"Primary Candidate","Republican"
"mariodb","37094727","MarioDB","Mario Diaz-Balart","I am proud to represent Florida's 25th Congressional District and serve on @HouseAppropsGOP as Transportation, Housing + Urban Development Subcommittee Chair",18638,2657,166,"Sat May 02 00:52:48 +0000 2009","Florida & Washington, DC","01717","D000600","Mario Diaz-Balart","M","Congress","Republican"
"markamodeinv2","402719755","MarkAmodeiNV2","RepMarkAmodei","Proudly representing Nevada's 2nd District",5330,891,1774,"Tue Nov 01 13:43:55 +0000 2011","Carson City, NV","02090","A000369","Mark E. Amodei","M","Congress","Republican"
"markeymemo","3047090620","MARKEYMEMO","MarkeyMemo","MarkeyMemo followers: Please note that the official Twitter account for Senator Markey is now @SenMarkey",35,1,1,"Fri Feb 20 15:27:19 +0000 2015","","00735","M000133","Edward J. Markey","M","Congress","Democrat"
"markwarner","7429102","MarkWarner","Mark Warner","Updates from the U.S. Senator from Virginia and Staff. Following/retweeting does not equal an endorsement.",52556,4139,11044,"Thu Jul 12 14:03:33 +0000 2007","Virginia","01897","W000805","Mark R. Warner","M","Congress","Democrat"
"marshablackburn","278145569","MarshaBlackburn","Marsha Blackburn","I am honored to serve the people of Tennessee's 7th District.",17524,3210,2380,"Wed Apr 06 18:05:33 +0000 2011","Brentwood, TN","01748","B001243","Marsha Blackburn","F","Congress","Republican"
"martinheinrich","1099199839","MartinHeinrich","Martin Heinrich","United States Senator from New Mexico",7196,1371,74,"Thu Jan 17 20:24:19 +0000 2013","","01937","H001046","Martin Heinrich","M","Congress","Democrat"
"maxinewaters","36686040","MaxineWaters","Maxine Waters","Proudly serving the people of California's 43rd District in Congress. Ranking Member of the House Financial Services Committee.",26614,1384,692,"Thu Apr 30 15:17:45 +0000 2009","Los Angeles/Washington, D.C.","01205","W000187","Maxine Waters","F","Congress","Democrat"
"maziehirono","92186819","maziehirono","Senator Mazie Hirono","U.S. Senator Mazie K. Hirono - Proudly Serving the People of Hawaii",14183,3618,1188,"Tue Nov 24 03:10:37 +0000 2009","Hawaii","01844","H001042","Mazie K. Hirono","F","Congress","Democrat"
"mccaskilloffice","57065141","McCaskillOffice","McCaskill Office","Office of U.S. Senator Claire McCaskill. Staff updates on Claire's work for Missouri. Follow Claire herself @Clairecmc.",6472,3337,1459,"Wed Jul 15 16:40:06 +0000 2009","Missouri","01820","M001170","Claire McCaskill","F","Congress","Democrat"
"mccaulpressshop","2982194855","McCaulPressShop","outquetasnigh1","",7,6,23,"Sat Jan 17 06:07:47 +0000 2015","","01804","M001157","Michael T. McCaul","M","Congress","Republican"
"mcconnellpress","339822881","McConnellPress","Sen. McConnell Press","The Kentucky press office for Senator Mitch McConnell. For more information please visit his website:",54706,6704,269,"Thu Jul 21 18:25:30 +0000 2011","","01395","M000355","Mitch McConnell","M","Congress","Republican"
"michaelcburgess","15751083","michaelcburgess","Michael Burgess, MD","Congressman for Texas' 26th District, M.D. (Ob/Gyn) in my former life",14453,3690,1288,"Wed Aug 06 15:25:19 +0000 2008","Washington, DC/Lake Dallas, TX","01751","B001248","Michael C. Burgess","M","Congress","Republican"
"mikecrapo","600463589","MikeCrapo","Senator Mike Crapo","United States Senator for the great state of Idaho.",11478,4099,445,"Tue Jun 05 22:16:35 +0000 2012","Idaho & Washington, D.C.","00250","C000880","Mike Crapo","M","Congress","Republican"
"mikekellypa","935368364","MikeKellyPA","Rep. Mike Kelly","Representative Mike Kelly proudly and humbly serves the people of Pennsylvania's Third District (#PA03) and currently sits on the House Ways & Means Committee.",5280,1068,705,"Thu Nov 08 20:31:21 +0000 2012","Washington, DC","02051","K000376","Mike Kelly","M","Congress","Republican"
"motherjones","18510860","MotherJones","Mother Jones","Investigative journalism, politics, chart-tastic, and sometimes sarcastic.  We're the nonprofit news organization that brought you the 47 percent video.",539342,118746,983,"Wed Dec 31 17:21:13 +0000 2008","",NA,NA,NA,NA,"Media Outlets",NA
"msnbc","2836421","msnbc","msnbc","The place for in-depth analysis, political commentary and informed perspectives. Have questions? Tweet to @Farrashley, @NishaChittal and @digimuller.",767359,78170,694,"Thu Mar 29 13:15:41 +0000 2007","",NA,NA,NA,NA,"Media Outlets",NA
"nancypelosi","15764644","NancyPelosi","Nancy Pelosi ","Democratic Leader, focused on strengthening America's middle class and creating jobs; mother, grandmother, dark chocolate connoisseur.",604664,3178,364,"Thu Aug 07 15:35:02 +0000 2008","San Francisco & DC","00905","P000197","Nancy Pelosi","F","Congress","Democrat"
"nbcnews","14173315","NBCNews","NBC News","A leading source of global news and information for more than 75 years.",2295358,53240,2878,"Tue Mar 18 23:19:17 +0000 2008","New York, NY",NA,NA,NA,NA,"Media Outlets",NA
"newshour","14437914","NewsHour","PBS NewsHour","PBS NewsHour is one of the most trusted news programs on TV and online. Follow us on Facebook: http://t.co/Qss5G8uYIy",692037,75671,130824,"Fri Apr 18 21:57:17 +0000 2008","Arlington, VA | New York, NY ",NA,NA,NA,NA,"Media Outlets",NA
"newyorker","14677919","NewYorker","The New Yorker","The New Yorker is a weekly magazine with a mix of reporting of politics and culture, humor and cartoons, fiction and poetry, and reviews and criticism.",4919098,27771,281,"Tue May 06 19:36:33 +0000 2008","New York, NY",NA,NA,NA,NA,"Media Outlets",NA
"nikiinthehouse","242892689","nikiinthehouse","Niki Tsongas","Proudly representing the families of the Massachusetts 3rd District.

More info at: http://t.co/mp6QlRchln",8309,3638,1221,"Tue Jan 25 20:57:25 +0000 2011","","01884","T000465","Niki Tsongas","F","Congress","Democrat"
"nitalowey","221792092","NitaLowey","Nita Lowey","Official account of Congresswoman Nita Lowey, proudly representing NY's 17th District. RM on House Approps Committee (@AppropsDems). RTs/follows ≠ endorsements.",9806,1381,838,"Wed Dec 01 16:36:35 +0000 2010","New York and Washington, D.C.","00709","L000480","Nita M. Lowey","F","Congress","Democrat"
"normajtorres","236279233","NormaJTorres","Norma Torres","U.S. Representative for California's 35th District",2237,2540,603,"Mon Jan 10 06:30:14 +0000 2011","","02231","T000474","Norma J. Torres","F","Congress","Democrat"
"nprnews","5392522","nprnews","NPR News","News. Arts & Life. Music. Everything and more from NPR.",3637008,79562,73801,"Sun Apr 22 05:10:15 +0000 2007","Washington, DC",NA,NA,NA,NA,"Media Outlets",NA
"nydiavelazquez","164369297","NydiaVelazquez","Rep. Nydia Velazquez","Represents New York's 7th Congressional District in the U.S. House of Representatives.  Top Democrat on House Small Business Committee.",7521,279,3047,"Thu Jul 08 18:18:20 +0000 2010","NYC and DC","01184","V000081","Nydia M. Velázquez","F","Congress","Democrat"
"nytimes","807095","nytimes","The New York Times","Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from http://t.co/YapuoqX0HS",17091495,184570,991,"Fri Mar 02 20:41:42 +0000 2007","New York City",NA,NA,NA,NA,"Media Outlets",NA
"olsonpressshop","20053279","OlsonPressShop","RepPeteOlson","The Latest in News from US Congressman Pete Olson and Capitol Hill",5035,3653,1687,"Wed Feb 04 13:40:57 +0000 2009","Washington, DC / Houston, TX","01955","O000168","Pete Olson","M","Congress","Republican"
"patrickmchenry","27676828","PatrickMcHenry","Patrick McHenry","I represent the citizens of North Carolina’s 10th District in the United States Congress.",14806,2721,3900,"Mon Mar 30 16:42:39 +0000 2009","Denver, NC","01792","M001156","Patrick T. McHenry","M","Congress","Republican"
"pattymurray","293131808","PattyMurray","Senator Patty Murray","Official account of U.S. Senator Patty Murray (D-WA) | Tweets come from staff unless signed “-PM” by Senator Murray | RT≠endorsement",34527,7147,2170,"Wed May 04 20:23:35 +0000 2011","WA & DC","01409","M001111","Patty Murray","F","Congress","Democrat"
"pedropierluisi","34972633","pedropierluisi","Pedro Pierluisi","I take my responsibility of serving the 3.6 million U.S. citizens of Puerto Rico very seriously and I represent them in Congress with pride.",41259,6911,10513,"Fri Apr 24 16:43:30 +0000 2009","Washington D.C. / San Juan","01953","P000596","Pedro R. Pierluisi","M","Congress","Democrat"
"peterroskam","20015903","PeterRoskam","Peter Roskam","I represent Illinois’ 6th Congressional District in the US House. I serve on the Ways and Means Committee and the Select Committee on Benghazi.",15098,4335,4518,"Wed Feb 04 00:11:56 +0000 2009","Wheaton, IL","01848","R000580","Peter J. Roskam","M","Congress","Republican"
"peterwelch","1410590874","PeterWelch","Rep. Peter Welch","Official Twitter Account for Congressman Peter Welch, proudly representing the great state of Vermont in the U.S. House of Representatives.",4001,787,1788,"Tue May 07 16:10:47 +0000 2013","Vermont and Washington, DC","01879","W000800","Peter Welch","M","Congress","Democrat"
"petesessions","24735461","PeteSessions","Pete Sessions","I proudly represent the people of Texas' 32nd Congressional District and serve as the Chairman of the House Committee on Rules.",15377,3816,789,"Mon Mar 16 17:54:52 +0000 2009","","01525","S000250","Pete Sessions","M","Congress","Republican"
"politico","9300262","politico","POLITICO","Nobody knows politics like POLITICO.",1177405,110224,998,"Mon Oct 08 00:29:38 +0000 2007","Washington, D.C.",NA,NA,NA,NA,"Media Outlets",NA
"potus","1536791610","POTUS","President Obama","Dad, husband, and 44th President of the United States. Tweets may be archived: http://t.co/eVVzoATsAR.",2585957,30,66,"Fri Jun 21 16:02:21 +0000 2013","Washington, D.C.",NA,NA,NA,NA,"Pres. Obama",NA
"randpaul","216881337","RandPaul","Dr. Rand Paul","I fight for the Constitution, individual liberty and the freedoms that make this country great.",626858,4694,375,"Wed Nov 17 23:52:35 +0000 2010","",NA,NA,NA,NA,"Primary Candidate","Republican"
"randy_forbes","15160884","Randy_Forbes","Randy Forbes","Representing Virginia's Fourth Congressional District. (Following a group or person does not indicate support or endorsement of their beliefs or opinions.)",14044,3237,4939,"Wed Jun 18 18:32:37 +0000 2008","Chesapeake, Virginia","01683","F000445","J. Randy Forbes","M","Congress","Republican"
"randyneugebauer","34340464","RandyNeugebauer","Randy Neugebauer","Proudly representing the 19th District of Texas, which stretches across 29 counties in West Texas and the Big Country.",10618,3621,3004,"Wed Apr 22 17:46:22 +0000 2009","Lubbock, TX","01758","N000182","Randy Neugebauer","M","Congress","Republican"
"raul_labrador","246341769","Raul_Labrador","Raúl R. Labrador","Proudly serving Idaho's beautiful 1st Congressional District.",9286,1098,522,"Wed Feb 02 16:26:52 +0000 2011","Eagle, Idaho","02011","L000573","Raúl R. Labrador","M","Congress","Republican"
"realbencarson","1180379185","RealBenCarson","Dr. Ben Carson","The Official Twitter Page of Dr. Ben Carson. Connect on Facebook: http://t.co/eRNZLexlnW",351909,946,39,"Thu Feb 14 21:33:22 +0000 2013","Baltimore, MD ",NA,NA,NA,NA,"Primary Candidate","Republican"
"realdonaldtrump","25073877","realDonaldTrump","Donald J. Trump","The official Twitter profile for Donald Trump  http://t.co/XjVAWwcrmp
http://t.co/3DqVPa3KvF  http://t.co/MBxJXueyTP",2939287,25701,43,"Wed Mar 18 13:46:38 +0000 2009","New York, NY",NA,NA,NA,NA,"Primary Candidate","Republican"
"rep_albio_sires","2193480787","rep_albio_sires","Big Luxery","Completing a Holiday off Here because now i'm Bringing in $650 day-to-day at work internet based inside my house. All my ambitions now emerged perfect.",27,1,6,"Thu Nov 14 04:01:58 +0000 2013","","01818","S001165","Albio Sires","M","Congress","Democrat"
"rep_devinnunes","344972339","Rep_DevinNunes","Rep. Devin Nunes","",774,23,12,"Fri Jul 29 21:40:22 +0000 2011","Washington, DC","01710","N000181","Devin Nunes","M","Congress","Republican"
"rep_hunter","1305596696","Rep_Hunter","Rep. Duncan Hunter","Representing California’s 50th District",4072,261,245,"Tue Mar 26 21:04:26 +0000 2013","","01909","H001048","Duncan Hunter","M","Congress","Republican"
"rep_janicehahn","339852137","Rep_JaniceHahn","Janice Hahn","Proudly representing California's 44th District in Congress",6730,2672,973,"Thu Jul 21 19:22:22 +0000 2011","San Pedro, CA","02089","H001063","Janice Hahn","F","Congress","Democrat"
"rep_stevewomack","234469322","rep_stevewomack","Rep. Steve Womack","Proud to serve the folks of Arkansas's 3rd District. Follow me on Facebook:  http://t.co/po5GaonDqA",8947,3141,1160,"Wed Jan 05 18:53:03 +0000 2011","Arkansas's 3rd District","01991","W000809","Steve Womack","M","Congress","Republican"
"repabraham","2962891515","RepAbraham","Rep. Ralph Abraham ","Proudly representing Louisiana's 5th District. Rural family physician, veteran, farmer, pilot, former veterinarian, husband, father & grandfather.",877,135,96,"Mon Jan 05 23:01:54 +0000 2015","","02244","A000374","Ralph Lee Abraham","M","Congress","Republican"
"repadams","2916086925","RepAdams","Alma S. Adams","Congresswoman. Educator. Artist.",1061,510,601,"Thu Dec 11 19:54:07 +0000 2014","","02201","A000370","Alma S. Adams","F","Congress","Democrat"
"repadamschiff","29501253","RepAdamSchiff","Adam Schiff","Representing California's 28th Congressional District and Ranking Member of the House Intelligence Committee.",12970,2328,636,"Tue Apr 07 17:54:35 +0000 2009","Burbank, CA","01635","S001150","Adam B. Schiff","M","Congress","Democrat"
"repadamsmith","58928690","RepAdamSmith","Rep. Adam Smith","Proudly serving Washington State's 9th District. Ranking Member of the House Armed Services Committee @HASCDemocrats",9535,1624,1393,"Tue Jul 21 21:31:55 +0000 2009","Washington's 9th District","01528","S000510","Adam Smith","M","Congress","Democrat"
"repadriansmith","296245061","RepAdrianSmith","Rep. Adrian Smith","Proudly serving the 3rd District of Nebraska in the U.S. House of Representatives",3777,1531,188,"Tue May 10 12:52:01 +0000 2011","Gering, NE / Washington, DC","01860","S001172","Adrian Smith","M","Congress","Republican"
"repalexmooney","2964526557","RepAlexMooney","Rep. Alex Mooney","Official account for Congressman Alex Mooney representing the 2nd district of West Virginia.  Serving on the Natural Resources and Budget House Committees.",1131,148,161,"Tue Jan 06 17:13:10 +0000 2015","","02277","M001195","Alexander X. Mooney","M","Congress","Republican"
"repalgreen","156333623","RepAlGreen","Congressman Al Green","Proud to represent the Ninth Congressional District of Texas in the United States House of Representatives.",8272,385,170,"Wed Jun 16 17:20:23 +0000 2010","Houston, TX","01803","G000553","Al Green","M","Congress","Democrat"
"repamata","3026622545","RepAmata","Congresswoman Amata","Congresswoman Representing American Samoa",185,1,0,"Mon Feb 09 16:00:36 +0000 2015","Washington, D.C.","02222","R000600","Aumua Amata Coleman Radewagen","F","Congress","Republican"
"repandrecarson","199325935","RepAndreCarson","André Carson","The official Twitter account for Congressman André Carson of Indiana's 7th District. #Indianapolis #Indy",11018,2310,819,"Wed Oct 06 15:47:50 +0000 2010","Indianapolis","01889","C001072","André Carson","M","Congress","Democrat"
"repandybarr","1089334250","RepAndyBarr","Rep. Andy Barr","Honored to represent Kentucky's Sixth Congressional District.  Fighting to get Kentuckians back to work and restore fiscal responsibility to Washington",5585,1903,1150,"Mon Jan 14 15:29:49 +0000 2013","Lexington, KY","02131","B001282","Andy Barr","M","Congress","Republican"
"repandyharrismd","960962340","RepAndyHarrisMD","Rep. Andy Harris, MD","Proud to serve the people of MD-1; Anesthesiologist; Father to Joe, Becky, Irene, Jessica, & Danny; Grandfather to Charles and Abigail",4684,1678,534,"Tue Nov 20 18:31:27 +0000 2012","Maryland's First District","02026","H001052","Andy Harris","M","Congress","Republican"
"repannaeshoo","249348006","RepAnnaEshoo","Rep. Anna G. Eshoo","Representing California's 18th Congressional District--the heart of Silicon Valley. Ranking Member of the Communications and Technology Subcommittee.",9401,1092,723,"Tue Feb 08 21:36:03 +0000 2011","Palo Alto, CA","00355","E000215","Anna G. Eshoo","F","Congress","Democrat"
"repanniekuster","1058717720","RepAnnieKuster","Ann McLane Kuster","Honored to serve the people of New Hampshire’s Second District in Congress.",6755,1444,5304,"Thu Jan 03 20:29:22 +0000 2013","NH's 2nd District","02145","K000382","Ann M. Kuster","F","Congress","Democrat"
"repannwagner","1051446626","RepAnnWagner","Ann Wagner","Official Twitter account for Congresswoman Ann Wagner-- proudly Representing the 2nd Congressional District of Missouri
http://t.co/ozYKLyoI",7591,1692,2805,"Tue Jan 01 00:01:45 +0000 2013","Ballwin, MO","02137","W000812","Ann Wagner","F","Congress","Republican"
"repbarbaralee","248735463","RepBarbaraLee","Rep. Barbara Lee","Hi! I'm Congresswoman Barbara Lee, and I proudly represent California's 13th Congressional District in the US House of Representatives.",22586,3088,898,"Mon Feb 07 16:28:28 +0000 2011","Washington, DC and Oakland, CA","01501","L000551","Barbara Lee","F","Congress","Democrat"
"repbeatty","1531521632","RepBeatty","Joyce Beatty","Official Twitter page for Congresswoman Joyce Beatty, representing Ohio's Third Congressional District in the U.S. House of Representatives",3400,2292,934,"Wed Jun 19 17:47:09 +0000 2013","Ohio's Third District","02153","B001281","Joyce Beatty","F","Congress","Democrat"
"repbecerra","133832049","RepBecerra","Xavier Becerra","Chairman of the @HouseDemocrats. Proudly representing California's 34th Congressional District.",18145,1634,1833,"Fri Apr 16 19:04:13 +0000 2010","Los Angeles, CA","00070","B000287","Xavier Becerra","M","Congress","Democrat"
"repbenraylujan","19318314","repbenraylujan","Ben Ray Lujan","Proudly Representing New Mexico’s 3rd Congressional District. @EnergyCommerce Committee, and Member of @HispanicCaucus. Follows, replies & RTs ≠ endorsement.",8587,1017,291,"Thu Jan 22 01:00:32 +0000 2009","","01939","L000570","Ben Ray Luján","M","Congress","Democrat"
"repbera","950783972","RepBera","Congressman Ami Bera","Ami Bera M.D., representing Sacramento County, California #CA7 in the U.S. House of Representatives.",6729,1373,88,"Fri Nov 16 01:39:54 +0000 2012","Elk Grove, California","02102","B001287","Ami Bera","M","Congress","Democrat"
"repbetoorourke","1134292500","RepBetoORourke","Rep. Beto O'Rourke","US Congress - El Paso",11513,2604,521,"Wed Jan 30 14:52:51 +0000 2013","El Paso, TX","02162","O000170","Beto O'Rourke","M","Congress","Democrat"
"repbillflores","237312687","RepBillFlores","Rep. Bill Flores","I serve hardworking Texas families -- to #RebuildTheAmericanDream, and to grow opportunities for more good American jobs and better paychecks.",9260,4303,1873,"Wed Jan 12 15:20:23 +0000 2011","17th District of Texas","02065","F000461","Bill Flores","M","Congress","Republican"
"repbillfoster","1080509366","RepBillFoster","Bill Foster","Congressman Bill Foster is a scientist and businessman representing the 11th Congressional District of Illinois",4081,1205,1412,"Fri Jan 11 18:17:11 +0000 2013","Naperville, IL ","01888","F000454","Bill Foster","M","Congress","Democrat"
"repbilljohnson","211530910","RepBillJohnson","Bill Johnson","Proudly representing #Ohio's 6th Congressional District. Energy Enthusiast. Veteran. Husband. Father. Grandfather.",8919,3209,737,"Wed Nov 03 14:33:04 +0000 2010","Eastern/Southeastern Ohio","02046","J000292","Bill Johnson","M","Congress","Republican"
"repbillshuster","22527499","RepBillShuster","Bill Shuster","Member of Congress and Chairman of the House Transportation & Infrastructure Committee. Proudly representing the people of PA's 9th district.",11714,2632,857,"Mon Mar 02 20:04:02 +0000 2009","Hollidaysburg, PA","01681","S001154","Bill Shuster","M","Congress","Republican"
"repblainepress","1849261916","RepBlainePress","Blaine Luetkemeyer","All information released is from Rep. Luetkemeyer or his media shop to keep you up-to-date with the Congressman and his work.",1658,902,196,"Mon Sep 09 19:53:08 +0000 2013","Missouri's 3rd District","01931","L000569","Blaine Luetkemeyer","M","Congress","Republican"
"repbobbyrush","305216911","RepBobbyRush","Bobby L. Rush","The official twitter account of Rep. Bobby L. Rush.  For official policy please see http://t.co/biKpeeMhCz.  RT does NOT constitute an endorsement.",5322,624,162,"Wed May 25 20:59:25 +0000 2011","D.C./Chicago & SW Suburbs","01003","R000515","Bobby L. Rush","M","Congress","Democrat"
"repbobbyscott","161791703","repbobbyscott","Rep. Bobby Scott","Proudly representing Virginia's 3rd Congressional District. Ranking Member, Committee on Education and the Workforce @edworkforcedems.",9879,1710,1758,"Thu Jul 01 19:57:00 +0000 2010","Newport News, VA","01037","S000185","Robert C. ""Bobby"" Scott","M","Congress","Democrat"
"repbobgibbs","234822928","RepBobGibbs","Rep. Bob Gibbs","R-OH; Chairman, T&I Subcommittee on Water Resources and Environment; Agriculture Comm; http://t.co/sXrcqLkW2r",8637,1966,2775,"Thu Jan 06 17:17:21 +0000 2011","US Congress","02049","G000563","Bob Gibbs","M","Congress","Republican"
"repbonamici","558769636","RepBonamici","Suzanne Bonamici","Honored to represent Oregon's First Congressional District.",4835,815,874,"Fri Apr 20 16:30:32 +0000 2012","","02092","B001278","Suzanne Bonamici","F","Congress","Democrat"
"repbost","2964877294","RepBost","Rep. Mike Bost","",788,224,43,"Tue Jan 06 19:55:08 +0000 2015","IL-12 Congressional District ","02243","B001295","Mike Bost","M","Congress","Republican"
"repboustany","249339682","RepBoustany","Charles Boustany","South Louisiana's voice on Capitol Hill. Trade. Energy. Taxes. Vets. #LA03 @WaysandMeansGOP",5896,761,459,"Tue Feb 08 21:15:08 +0000 2011","Washington, DC/South Louisiana","01787","B001255","Charles W. Boustany Jr.","M","Congress","Republican"
"repbradashford","2964351843","RepBradAshford","Brad Ashford","Proudly Representing Nebraska's 2nd Congressional District",1145,173,468,"Tue Jan 06 15:51:29 +0000 2015","","02257","A000373","Brad Ashford","M","Congress","Democrat"
"repbradwenstrup","518644221","RepBradWenstrup","Brad Wenstrup","US Representative for the people of Ohio's 2nd District, Physician, Army Reservist, Dad, Lifelong Ohioan",3824,2852,923,"Thu Mar 08 16:25:14 +0000 2012","","02152","W000815","Brad R. Wenstrup","M","Congress","Republican"
