"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","bioid","id","name","gender","type","party","facebook","youtube","chamber"
"repjoekennedy","1055907624","RepJoeKennedy","Rep. Joe Kennedy III","Official Twitter account of Congressman Joe Kennedy III, representing Massachusetts' 4th Congressional District.",686590,4239,675,"Wed Jan 02 19:33:36 +0000 2013","","K000379","02172","Joseph P. Kennedy III","M","Congress","Democrat","301936109927957",NA,"rep"
"repjoewilson","254082173","RepJoeWilson","Joe Wilson","Official Twitter account for Congressman Joe Wilson (SC-02). Grateful to serve as Chairman of the HASC Subcommittee on Readiness",12093,1996,396,"Fri Feb 18 15:18:45 +0000 2011","","W000795","01688","Joe Wilson","M","Congress","Republican","JoeWilson","RepJoeWilson","rep"
"repjohndelaney","937723303","RepJohnDelaney","Rep. John Delaney","Official Twitter page for Congressman John K. Delaney, representing Maryland’s Sixth Congressional District in the U.S. House of Representatives.",19020,5508,1539,"Fri Nov 09 20:40:22 +0000 2012","Maryland's Sixth District","D000620","02133","John K. Delaney","M","Congress","Democrat","congressmanjohndelaney","repjohndelaney","rep"
"repjohnduncanjr","1883356866","RepJohnDuncanJr","Rep John Duncan Jr.","Proudly serving the people of Tennessee's 2nd District in the U.S. Congress, Vice Chairman of @Transport Committee & Member of @GOPoversight.Links ≠ endorsement",5846,702,370,"Thu Sep 19 14:50:04 +0000 2013","Knoxville, TN","D000533","00322","John J. Duncan, Jr.","M","Congress","Republican","CongressmanDuncan","RepJohnDuncan","rep"
"repjohnfaso","815931811348017152","RepJohnFaso","John Faso","Representing New York's 19th Congressional District",6375,867,139,"Mon Jan 02 14:44:37 +0000 2017","NY-19","F000464",NA,"John J. Faso","M","Congress","Republican","RepJohnFaso",NA,"rep"
"repjohnkatko","2966765501","RepJohnKatko","John Katko","Official Twitter account of Rep. John Katko. Proudly representing New York's 24th Congressional District.",11531,711,231,"Wed Jan 07 21:51:49 +0000 2015","Syracuse, New York","K000386","02264","John Katko","M","Congress","Republican","RepJohnKatko",NA,"rep"
"repjohnlarson","50452197","RepJohnLarson","Rep. John Larson","Member of Congress representing the First  District of Connecticut.",22997,2982,475,"Wed Jun 24 21:47:31 +0000 2009","Hartford, CT","L000557","01583","John B. Larson","M","Congress","Democrat","RepJohnLarson","RepJohnLarson","rep"
"repjohnlewis","29450962","repjohnlewis","John Lewis","Congressman, Georgia's Fifth Congressional District",958722,1880,147,"Tue Apr 07 13:49:52 +0000 2009","Atlanta, GA","L000287","00688","John Lewis","M","Congress","Democrat","RepJohnLewis","repjohnlewis","rep"
"repjohnyarmuth","384913290","RepJohnYarmuth","Rep. John Yarmuth","Official Twitter Account for Congressman John Yarmuth, representing the 3rd Congressional District of Kentucky.",33708,3314,407,"Tue Oct 04 15:07:38 +0000 2011","Louisville, KY","Y000062","01853","John A. Yarmuth","M","Congress","Democrat","214258646163","RepJohnYarmuth","rep"
"repjoseserrano","33563161","RepJoseSerrano","José E. Serrano","Congressman representing the South Bronx, New York.",24578,4420,1104,"Mon Apr 20 16:06:56 +0000 2009","Bronx NY-Wash.DC","S000248","01042","José E. Serrano","M","Congress","Democrat","RepJoseSerrano",NA,"rep"
"repjoshg","815310506596691968","RepJoshG","Rep Josh Gottheimer","Honored to serve the people of New Jersey's 5th District. Working across the aisle to solve problems, lower taxes, and fight for Jersey values.",6159,1849,62,"Sat Dec 31 21:35:47 +0000 2016","","G000583",NA,"Josh Gottheimer","M","Congress","Democrat","RepJoshG",NA,"rep"
"repjuanvargas","1260172386","RepJuanVargas","Rep. Juan Vargas","Official Twitter account of Rep. Vargas, representing southern San Diego County, all of Imperial County and California's entire U.S.-Mexico border. #CA51",18334,1884,186,"Mon Mar 11 19:04:01 +0000 2013","SD/Imperial Counties, CA","V000130","02112","Juan Vargas","M","Congress","Democrat","RepJuanVargas","RepJuanVargas","rep"
"repjudychu","193732179","RepJudyChu","Judy Chu","Proudly representing California's 27th District in the U.S. House of Representatives. Ways and Means. Small Business. Chair of @CAPAC.",55794,4580,45803,"Wed Sep 22 15:18:17 +0000 2010","Pasadena, CA","C001080","01970","Judy Chu","F","Congress","Democrat","RepJudyChu","RepJudyChu","rep"
"repkarenbass","239949176","RepKarenBass","Congressmember Bass","Representing California's 37th District, which includes Los Angeles, South LA, and Culver City. https://t.co/XHzgMSAQAc",84590,4329,14142,"Tue Jan 18 20:25:36 +0000 2011","Los Angeles & Washington","B001270","01996","Karen Bass","F","Congress","Democrat","RepKarenBass","RepKarenBass","rep"
"repkathleenrice","2970462034","RepKathleenRice","Kathleen Rice","U.S. Representative for #NY04 (Long Island). Former Nassau County DA.",26811,2350,1061,"Fri Jan 09 21:18:27 +0000 2015","Long Island, NY","R000602","02262","Kathleen M. Rice","F","Congress","Democrat","RepKathleenRice",NA,"rep"
"repkaygranger","161743731","RepKayGranger","Rep. Kay Granger","Congresswoman Kay Granger represents the 12th District of Texas. She is the Chairwoman of the House Appropriations Defense Subcommittee.",18808,1659,1137,"Thu Jul 01 17:14:51 +0000 2010","Texas ","G000377","01487","Kay Granger","F","Congress","Republican","RepKayGranger","RepKayGranger","rep"
"repkclark","2293131060","RepKClark","Katherine Clark","Proudly representing the people of the 5th District of Massachusetts.",57265,4115,1084,"Wed Jan 15 18:53:47 +0000 2014","","C001101","02196","Katherine M. Clark","F","Congress","Democrat","CongresswomanClark",NA,"rep"
"repkenbuck","2862577383","RepKenBuck","Congressman Ken Buck","Husband. Father. Proudly represent the wonderful people of Colorado CD-04.",17099,1302,335,"Wed Nov 05 14:49:30 +0000 2014"," Windsor, CO | Washington, DC","B001297","02233","Ken Buck","M","Congress","Republican","repkenbuck",NA,"rep"
"repkenmarchant","23976316","RepKenMarchant","Kenny Marchant","Serving the 24th Congressional District of Texas | Member of @WaysandMeansGOP and House Ethics Committee",24244,5110,2138,"Thu Mar 12 16:19:18 +0000 2009","Irving and Washington, D.C.","M001158","01806","Kenny Marchant","M","Congress","Republican","RepKennyMarchant","RepKennyMarchant","rep"
"repkevinbrady","19926675","RepKevinBrady","Rep. Kevin Brady","Dad. Husband. @WaysandMeansGOP Chairman. Loves: Baseball, Texas, tax reform.",37590,11393,719,"Mon Feb 02 19:57:06 +0000 2009","The Woodlands, Texas","B000755","01468","Kevin Brady","M","Congress","Republican","kevinbrady","KBrady8","rep"
"repkevincramer","1048784496","RepKevinCramer","Rep. Kevin Cramer","Representing the great people of North Dakota in the United States House of Representatives. Member of @HouseCommerce",12977,2948,651,"Sun Dec 30 20:54:06 +0000 2012","","C001096","02144","Kevin Cramer","M","Congress","Republican","CongressmanKevinCramer","kevincramer","rep"
"repkevinyoder","252819642","RepKevinYoder","Rep. Kevin Yoder","I represent #KS03 in the United States Congress, where I serve as Chairman of the Homeland Security Subcommittee on @HouseAppropsGOP",29557,7514,1675,"Wed Feb 16 00:04:41 +0000 2011","Overland Park, KS","Y000063","02021","Kevin Yoder","M","Congress","Republican","CongressmanKevinYoder","RepYoder","rep"
"repkihuen","816282029276938240","RepKihuen","Rep. Ruben J. Kihuen","Serving the 4th Congressional District of Nevada. First DREAMer to serve in Congress. #VegasStrong",11094,3008,122,"Tue Jan 03 13:56:16 +0000 2017","Las Vegas, NV","K000390",NA,"Ruben J. Kihuen","M","Congress","Democrat","RepKihuen",NA,"rep"
"repkinzinger","219429281","RepKinzinger","Adam Kinzinger","I represent Illinois' 16th District. It's an honor to serve in Congress on @HouseCommerce and @HouseForeign - and to serve as a pilot in the Air National Guard.",40569,7445,967,"Wed Nov 24 21:04:11 +0000 2010","Channahon, IL","K000378","02014","Adam Kinzinger","M","Congress","Republican","RepKinzinger","RepAdamKinzinger","rep"
"repkristinoem","235251868","RepKristiNoem","Rep. Kristi Noem","I'm South Dakota's lone Member of the U.S. House of Representatives. I live in Castlewood, SD with my husband Bryon and three kids Kassidy, Kennedy & Booker.",27324,5103,347,"Fri Jan 07 18:44:34 +0000 2011","","N000184","02060","Kristi L. Noem","F","Congress","Republican",NA,"RepKristiNoem","rep"
"replahood","3686482216","RepLaHood","Darin LaHood","Proudly representing the 18th Congressional District of Illinois.",9724,1067,368,"Thu Sep 17 14:16:48 +0000 2015","IL-18 Congressional District","L000585","02295","Darin LaHood","M","Congress","Republican","replahood",NA,"rep"
"replamalfa","1069124515","RepLaMalfa","Rep. Doug LaMalfa","Representing California's First District including Siskiyou, Shasta, Tehama, Butte, Glenn, Modoc, Lassen, Plumas, Sierra, Nevada and Placer Counties",14818,545,979,"Mon Jan 07 20:07:58 +0000 2013","Northern California","L000578","02100","Doug LaMalfa","M","Congress","Republican","RepLaMalfa","RepLaMalfa","rep"
"replancenj7","613725908","RepLanceNJ7","Rep. Leonard Lance","Official Twitter Account for Congressman Leonard Lance.  Proudly Representing New Jersey's 7th Congressional District.  http://t.co/uudCjpcv9f",15454,1808,311,"Wed Jun 20 20:19:40 +0000 2012","","L000567","01936","Leonard Lance","M","Congress","Republican","CongressmanLance","CongressmanLance","rep"
"replarrybucshon","234812598","RepLarryBucshon","Larry Bucshon, MD","Congressman representing Hoosiers from #IN08. Doctor. Member of @HouseCommerce. https://t.co/4eq38gWLlg",18279,5126,1974,"Thu Jan 06 16:45:56 +0000 2011","Indiana's 8th District","B001275","02018","Larry Bucshon","M","Congress","Republican","RepLarryBucshon","RepLarryBucshon","rep"
"replawrence","2863006655","RepLawrence","Brenda Lawrence","Congresswoman for Michigan's 14th District: Detroit, Southfield, Oakland and Wayne Counties. Instagram: Repbrendalawrence, Facebook: Rep.BLawrence",11510,3920,1146,"Wed Nov 05 18:46:39 +0000 2014","Washington, DC","L000581","02252","Brenda L. Lawrence","F","Congress","Democrat","395759603917487",NA,"rep"
"replbr","817050219007328258","RepLBR","Rep. Blunt Rochester","Official Twitter page for U.S. Representative Lisa Blunt Rochester (D-DE). Tweets from Rep. Blunt Rochester signed -LBR.",7291,564,316,"Thu Jan 05 16:48:47 +0000 2017","Delaware, USA - Washington, DC","B001303",NA,"Lisa Blunt Rochester","F","Congress","Democrat","Rep.BluntRochester",NA,"rep"
"repleezeldin","2750127259","RepLeeZeldin","Lee Zeldin","Official Twitter of U.S. Congressman Lee Zeldin of New York's 1st Congressional District.",44910,1600,1851,"Wed Aug 20 19:25:47 +0000 2014","","Z000017","02261","Lee M. Zeldin","M","Congress","Republican","RepLeeZeldin",NA,"rep"
"replindasanchez","312134473","RepLindaSanchez","Linda T. Sánchez","I work for #CA38. Vice Chair @HouseDemocrats. Fmr. @HispanicCaucus Chair. Serve on the @WaysMeansCmte. Die-hard @Dodgers Fan.",30050,2863,1844,"Mon Jun 06 16:50:45 +0000 2011","Norwalk, CA & Washington, D.C.","S001156","01757","Linda T. Sánchez","F","Congress","Democrat","CongresswomanLindaSanchez","LindaTSanchez","rep"
"replipinski","1009269193","RepLipinski","Rep. Daniel Lipinski","Proudly representing the people of Illinois' 3rd Congressional District. Follow me on Facebook at http://t.co/The2w76j",12029,2325,1817,"Thu Dec 13 17:03:06 +0000 2012","","L000563","01781","Daniel Lipinski","M","Congress","Democrat","repdanlipinski","lipinski03","rep"
"replizcheney","816719802328715264","RepLizCheney","Rep. Liz Cheney","Official Page of Congressman Liz Cheney, proudly representing the people of Wyoming.",5382,241,69,"Wed Jan 04 18:55:49 +0000 2017","Wyoming, USA","C001109",NA,"Liz Cheney","F","Congress","Republican","replizcheney",NA,"rep"
"replloyddoggett","153944899","RepLloydDoggett","Lloyd Doggett","Representing communities from San Antonio to Austin.",29589,5234,392,"Wed Jun 09 23:53:50 +0000 2010","Texas","D000399","00303","Lloyd Doggett","M","Congress","Democrat","lloyddoggett","doggett","rep"
"replobiondo","241207373","RepLoBiondo","Frank LoBiondo","Congressman proudly representing New Jersey's 2nd District. Chairman of House Aviation Subcommittee & CIA Subcommittee",16304,4342,246,"Fri Jan 21 18:28:47 +0000 2011","#SouthJersey","L000554","00699","Frank A. LoBiondo","M","Congress","Republican","FrankLoBiondo","USRepFrankLoBiondo","rep"
"reploisfrankel","1077121945","RepLoisFrankel","Rep. Lois Frankel","Representative from Florida's 21st Congressional District. Chair of @HouseDemWomen.",23949,5238,1508,"Thu Jan 10 16:58:38 +0000 2013","","F000462","02119","Lois Frankel","F","Congress","Democrat","RepLoisFrankel","reploisfrankel","rep"
"reploubarletta","239871673","RepLouBarletta","Rep. Lou Barletta","Proudly representing Pennsylvania's 11th Congressional District.",23765,2923,1776,"Tue Jan 18 16:37:10 +0000 2011","","B001269","02054","Lou Barletta","M","Congress","Republican","CongressmanLouBarletta","reploubarletta","rep"
"reploucorrea","815985039485837312","RepLouCorrea","Rep. Lou Correa","Father of 5. Public servant. Member of Congress. @VetAffairsDems @HomelandDemsHouse",5614,392,3,"Mon Jan 02 18:16:08 +0000 2017","Santa Ana, CA","C001110",NA,"J. Luis Correa","M","Congress","Democrat","RepLouCorrea",NA,"rep"
"reploudermilk","2914163523","RepLoudermilk","Barry Loudermilk","Rep. Barry Loudermilk represents Georgia's 11th Congressional District, which includes all of Bartow and Cherokee counties and portions of Cobb and Fulton.",12495,1858,1559,"Wed Dec 10 18:53:17 +0000 2014","","L000583","02238","Barry Loudermilk","M","Congress","Republican","reploudermilk",NA,"rep"
"replouiegohmert","22055226","replouiegohmert","Louie Gohmert","Member of Congress, representing the first district of Texas which encompasses over 12 counties stretching nearly 120 miles down the eastern border of Texas.",129340,6756,754,"Thu Feb 26 20:14:28 +0000 2009","","G000552","01801","Louie Gohmert","M","Congress","Republican","50375006903","GohmertTX01","rep"
"replowenthal","1055730738","RepLowenthal","Rep. Alan Lowenthal","Proudly serving California's 47th Congressional District. http://t.co/pHmhAyCM6J",25814,3605,3262,"Wed Jan 02 18:11:33 +0000 2013","Long Beach, CA","L000579","02111","Alan S. Lowenthal","M","Congress","Democrat","RepLowenthal","RepLowenthal","rep"
"replujangrisham","1061385474","RepLujanGrisham","MichelleLujanGrisham","Proudly serving New Mexico's 1st Congressional District. Serving on House Agriculture and Budget Committees.",25917,5515,542,"Fri Jan 04 20:46:03 +0000 2013","Albuquerque, NM","L000580","02146","Michelle Lujan Grisham","F","Congress","Democrat","RepLujanGrisham","RepLujanGrisham","rep"
"replukemesser","1045853744","RepLukeMesser","Rep. Luke Messer","Husband to a wonderful wife, father of three great kids, Congressman for Indiana's 6th Congressional District, lifelong Hoosier, and a die-hard #Colts fan.",15309,2117,852,"Sat Dec 29 20:06:12 +0000 2012","Shelbyville, IN","M001189","02130","Luke Messer","M","Congress","Republican","RepLukeMesser","RepLukeMesser","rep"
"replynnjenkins","19658173","RepLynnJenkins","Lynn Jenkins","Proud to represent the 2nd District of Kansas | CPA",23285,5812,4475,"Wed Jan 28 15:54:00 +0000 2009","Topeka","J000290","01921","Lynn Jenkins","F","Congress","Republican","replynnjenkins","RepLynnJenkins","rep"
"repmaloney","258900199","RepMaloney","Carolyn  B. Maloney","New York's 12th Congressional District - #Manhattan, #Brooklyn & #Queens. #NY12

DMs are open.",29901,7171,3307,"Mon Feb 28 19:06:50 +0000 2011","New York City","M000087","00729","Carolyn B. Maloney","F","Congress","Democrat","RepCarolynMaloney","carolynbmaloney","rep"
"repmarciafudge","153486399","RepMarciaFudge","Rep. Marcia L. Fudge","I work on behalf of the people of the 11th District to create jobs, promote quality education, improve access to health care and protect civil rights for all.",31675,5408,6266,"Tue Jun 08 17:54:06 +0000 2010","Cleveland / Akron, OH","F000455","01895","Marcia L. Fudge","F","Congress","Democrat","RepMarciaLFudge","marcialfudge","rep"
"repmarcykaptur","581141508","RepMarcyKaptur","Marcy Kaptur","Official account of Rep. Marcy Kaptur. Longest serving woman in Congress and proudly representing Ohio's 9th District. Ranking Member of Energy @AppropsDems.",17366,3753,655,"Tue May 15 16:57:51 +0000 2012","DC/Toledo/Northern Ohio","K000009","00616","Marcy Kaptur","F","Congress","Democrat","RepresentativeMarcyKaptur","USRepMarcyKaptur","rep"
"repmarkmeadows","963480595","RepMarkMeadows","Mark Meadows","Businessman, husband, and father proudly representing North Carolina's 11th Congressional District. Chairman of @freedomcaucus.",123005,2110,906,"Thu Nov 22 02:20:50 +0000 2012","Jackson County, NC","M001187","02142","Mark Meadows","M","Congress","Republican","Repmarkmeadows","RepMarkMeadows","rep"
"repmarkpocan","1206227149","repmarkpocan","Rep. Mark Pocan","Honored to serve the people of Wisconsin's Second District. Co-Chair, @USProgressives and @LGBTEqCaucus. Member of @AppropsDems",77224,4607,5345,"Thu Feb 21 22:59:04 +0000 2013","Madison, WI","P000607","02171","Mark Pocan","M","Congress","Democrat","repmarkpocan","repmarkpocan","rep"
"repmarktakano","1037321378","RepMarkTakano","Mark Takano","Proudly Representing California's 41st District. Member: @VetAffairsDems, @edworkforcedems, @SciCmteDems.",46928,2606,312,"Wed Dec 26 14:58:17 +0000 2012","Riverside, CA","T000472","02110","Mark Takano","M","Congress","Democrat","RepMarkTakano","RepMarkTakano","rep"
"repmarkwalker","2966205003","RepMarkWalker","Rep. Mark Walker","Member of U.S. Congress & Chairman of the @RepublicanStudy Committee. Former Pastor gratefully representing the 6th District of North Carolina.",11287,3408,1167,"Wed Jan 07 16:20:28 +0000 2015","","W000819","02255","Mark Walker","M","Congress","Republican","RepMarkWalker",NA,"rep"
"repmarshall","752364246218862592","RepMarshall","Rep. Roger Marshall","Physician, Grandpa, Congressman representing Kansas' Big 1st District",1358,0,0,"Mon Jul 11 04:49:49 +0000 2016","Great Bend, KS","M001198",NA,"Roger W. Marshall","M","Congress","Republican","rogermarshallmd",NA,"rep"
"repmartharoby","224294785","RepMarthaRoby","Rep. Martha Roby","I am honored to represent Alabama’s Second Congressional District in the U.S. House of Representatives.",30028,7917,2196,"Wed Dec 08 16:56:29 +0000 2010","","R000591","01986","Martha Roby","F","Congress","Republican","Representative.Martha.Roby","reproby","rep"
"repmattgaetz","818948638890217473","RepMattGaetz","Rep. Matt Gaetz","Official Twitter for Congressman Matt Gaetz.
Proud conservative, and Northwest Florida native who is honored to serve the First District of Florida.",81297,2055,773,"Tue Jan 10 22:32:25 +0000 2017","","G000578",NA,"Matt Gaetz","M","Congress","Republican","CongressmanMattGaetz",NA,"rep"
"repmaxinewaters","36686040","RepMaxineWaters","Maxine Waters","Proudly serving the people of California's 43rd District in Congress. Ranking Member of the House Financial Services Committee (@FSCDems).",815048,2672,665,"Thu Apr 30 15:17:45 +0000 2009","Los Angeles/Washington, D.C.","W000187","01205","Maxine Waters","F","Congress","Democrat","MaxineWaters","MaxineWaters","rep"
"repmccaul","26424123","RepMcCaul","Michael McCaul","News from Congressman Michael McCaul (R-TX 10) and his Press Office",26623,3438,347,"Wed Mar 25 03:54:11 +0000 2009","Texas' 10th District","M001157","01804","Michael T. McCaul","M","Congress","Republican","michaeltmccaul","MichaelTMcCaul","rep"
"repmcclintock","50152441","RepMcClintock","Tom McClintock","United States Representative, 4th District of California",12799,384,0,"Wed Jun 24 00:21:07 +0000 2009","Washington, DC","M001177","01908","Tom McClintock","M","Congress","Republican","81125319109","McClintockCA04","rep"
"repmceachin","816181091673448448","RepMcEachin","Rep. Donald McEachin","Father, husband & Progressive Democrat in Congress. Proudly representing VA’s Fighting 4th Congressional District. #VA04 Member of @HASCDemocrats & @NRDems.",5539,2399,1170,"Tue Jan 03 07:15:10 +0000 2017","","M001200",NA,"A. Donald McEachin","M","Congress","Democrat","RepMcEachin",NA,"rep"
"repmcgovern","242426145","RepMcGovern","Jim McGovern","Proudly representing the people of the 2nd District of Massachusetts.",37251,8343,519,"Mon Jan 24 19:18:36 +0000 2011","Massachusetts","M000312","01504","James P. McGovern","M","Congress","Democrat","RepJimMcGovern","repjimmcgovern","rep"
"repmckinley","240427862","RepMcKinley","David B. McKinley","Proud to serve the First District of West Virginia in the U.S. House of Representatives. Member of the Energy and Commerce Committee. Staff-run account",28503,5435,1082,"Wed Jan 19 22:29:00 +0000 2011","","M001180","02074","David B. McKinley","M","Congress","Republican","RepMcKinley","RepDavidMcKinley","rep"
"repmcnerney","385429543","RepMcNerney","Jerry McNerney","Proudly representing California's 9th Congressional District. Learn more about my work in Congress at http://t.co/MbFWXH7J",20489,2034,571,"Wed Oct 05 13:52:58 +0000 2011","Stockton, CA","M001166","01832","Jerry McNerney","M","Congress","Democrat","jerrymcnerney","RepJerryMcNerney","rep"
"repmcsally","2964949642","RepMcSally","Martha McSally","Honored to represent the people of Arizona's Second Congressional District in the U.S House of Representatives.",32867,2804,761,"Tue Jan 06 20:39:37 +0000 2015","Southern Arizona","M001197","02225","Martha McSally","F","Congress","Republican","RepMcSally",NA,"rep"
"repmgriffith","234057152","RepMGriffith","Morgan Griffith","Congressman Griffith represents the 9th District of Virginia in the U.S. House of Representatives.",24321,1204,422,"Tue Jan 04 19:05:24 +0000 2011","9th District of Virginia","G000568","02070","H. Morgan Griffith","M","Congress","Republican","RepMorganGriffith","RepMorganGriffith","rep"
"repmialove","2976598347","RepMiaLove","Rep. Mia Love","Official account for Congresswoman Mia Love, Utah's 4th District. 
Use of this page is subject to our guidelines, which are available at https://t.co/FPQkNcVd05",37100,1481,260,"Tue Jan 13 15:44:28 +0000 2015","Saratoga Springs, UT","L000584","02271","Mia B. Love","F","Congress","Republican","repmialove",NA,"rep"
"repmikebishop","2914571740","RepMikeBishop","Mike Bishop","Official account for Congressman Mike Bishop #MI08. Proudly serving on the tax-writing @WaysandMeansGOP.",12606,2015,815,"Wed Dec 10 22:19:34 +0000 2014","Rochester, MI","B001293","02249","Mike Bishop","M","Congress","Republican","RepMikeBishop",NA,"rep"
"repmikecapuano","747806211983179776","RepMikeCapuano","Rep. Michael Capuano","Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84",9823,512,206,"Tue Jun 28 14:57:49 +0000 2016","Somerville, MA","C001037","01564","Michael E. Capuano","M","Congress","Democrat","RepMichaelCapuano","RepMikeCapuano","rep"
"repmikecoffman","19407835","RepMikeCoffman","Rep. Mike Coffman","Proudly representing Colorado's Sixth Congressional District | @USMC Combat Vet | FB: RepMikeCoffman | RTs/follow ≠ endorsement",38627,3468,1863,"Fri Jan 23 19:04:01 +0000 2009","Colorado's 6th District","C001077","01912","Mike Coffman","M","Congress","Republican","repmikecoffman","CongressmanCoffman","rep"
"repmikejohnson","827279765287559171","RepMikeJohnson","Rep. Mike Johnson","Proudly serving Louisiana's 4th Congressional District. Member on @HouseJudiciary & @NatResources.",3426,1111,402,"Thu Feb 02 22:17:20 +0000 2017","Washington, DC","J000299",NA,"Mike Johnson","M","Congress","Republican","RepMikeJohnson",NA,"rep"
"repmikequigley","56864092","RepMikeQuigley","Mike Quigley","#IL05 Congressman, House Appropriator, member of Intel Committee, amateur hockey player & proud Cubs fan https://t.co/zL9fkzy188",37656,10541,2189,"Wed Jul 15 00:10:43 +0000 2009","Chicago, IL; Washington, DC","Q000023","01967","Mike Quigley","M","Congress","Democrat","repmikequigley","RepMikeQuigley","rep"
"repmikerogersal","33977070","RepMikeRogersAL","Mike Rogers","I am proud to represent Alabama's Third Congressional District.",22356,3972,2944,"Tue Apr 21 17:43:28 +0000 2009","Washington, D.C./Anniston, AL","R000575","01704","Mike Rogers","M","Congress","Republican","CongressmanMikeDRogers","MikeRogersAL03","rep"
"repmiketurner","51228911","RepMikeTurner","US Rep. Mike Turner","I proudly represent the Tenth District of Ohio. Montgomery County, Greene County and Fayette County. #OH10",19791,2575,1009,"Fri Jun 26 21:15:07 +0000 2009","Washington, DC and Dayton, OH","T000463","01741","Michael R. Turner","M","Congress","Republican","RepMikeTurner","CongressmanTurner","rep"
"repmimiwalters","47798449","RepMimiWalters","Mimi Walters","Wife, mother of 4 awesome children, and U.S. Congresswoman proudly serving #CA45.",12629,4575,1031,"Wed Jun 17 00:59:59 +0000 2009","Irvine, CA","W000820","02232","Mimi Walters","F","Congress","Republican","RepMimiWalters",NA,"rep"
"repmobrooks","237299871","RepMoBrooks","Mo Brooks","Thanks for following me. I'm the Congressman for Alabama's Fifth District and this is my official Twitter page. It's an honor to serve you.",26640,1721,2250,"Wed Jan 12 14:46:14 +0000 2011","Alabama","B001274","01987","Mo Brooks","M","Congress","Republican","RepMoBrooks","RepMoBrooks","rep"
"repmoolenaar","2696643955","RepMoolenaar","Rep. John Moolenaar","Representing Michigan's Fourth Congressional District. This is the Twitter page of the official House office.",8534,790,346,"Thu Jul 31 21:09:14 +0000 2014","","M001194","02248","John R. Moolenaar","M","Congress","Republican","RepMoolenaar",NA,"rep"
"repmullin","1060370282","RepMullin","Markwayne Mullin","Father of five. Small business owner. Honored to represent Oklahoma’s conservative values in Congress. https://t.co/0jHkAECORk",15426,2604,1156,"Fri Jan 04 12:43:55 +0000 2013","Oklahoma","M001190","02156","Markwayne Mullin","M","Congress","Republican","RepMullin",NA,"rep"
"repnewhouse","2930635215","RepNewhouse","Rep Dan Newhouse","Proud to represent Washington's 4th District in the U.S. Congress",9775,1201,1647,"Thu Dec 18 20:19:23 +0000 2014","","N000189","02275","Dan Newhouse","M","Congress","Republican","RepNewhouse",NA,"rep"
"repohalleran","808416682972770304","RepOHalleran","Rep. Tom O'Halleran","Husband, father, and grandfather. Proud to represent Arizona's First Congressional District. Member of Agriculture and Armed Services Committees. #AZ01",7091,2152,322,"Mon Dec 12 21:02:11 +0000 2016","Arizona","O000171",NA,"Tom O’Halleran","M","Congress","Democrat","repohalleran",NA,"rep"
"reppaulcook","1074412920","RepPaulCook","Rep. Paul Cook","Twenty-six year retired @USMC Colonel serving as a United States Congressman from California's 8th Congressional District. Join the conversation #CA08 #Semperfi",13182,1533,1156,"Wed Jan 09 17:43:44 +0000 2013","Apple Valley, California","C001094","02103","Paul Cook","M","Congress","Republican","RepPaulCook","RepPaulCook","rep"
"reppaulmitchell","811632636598910976","RepPaulMitchell","Rep. Paul Mitchell","Official account for Congressman Paul Mitchell #MI10",3971,852,386,"Wed Dec 21 18:01:14 +0000 2016","","M001201",NA,"Paul Mitchell","M","Congress","Republican","reppaulmitchell",NA,"rep"
"reppaultonko","84119348","RepPaulTonko","Paul Tonko","U.S. Representative for New York’s 20th Congressional District including Albany, Schenectady, Troy, Saratoga Springs, Amsterdam and surrounding areas.",23276,11018,1878,"Wed Oct 21 17:24:57 +0000 2009","","T000469","01942","Paul Tonko","M","Congress","Democrat","reppaultonko","reppaultonko","rep"
"repperlmutter","20552026","RepPerlmutter","Rep. Ed Perlmutter","Member of Congress, proudly representing the 7th District of Colorado https://t.co/wLRJaGd9rX",29578,4269,4390,"Tue Feb 10 22:17:52 +0000 2009","Colorado","P000593","01835","Ed Perlmutter","M","Congress","Democrat","RepPerlmutter","RepPerlmutter","rep"
"reppeteaguilar","3018670151","RepPeteAguilar","Rep. Pete Aguilar","Pete Aguilar represents CA’s 31st Congressional District. A former mayor, Rep. Aguilar is committed to strengthening the Inland Empire’s middle class.",8762,1424,222,"Wed Feb 04 21:01:23 +0000 2015","San Bernardino, CA","A000371","02229","Pete Aguilar","M","Congress","Democrat","reppeteaguilar",NA,"rep"
"reppeteking","18277655","RepPeteKing","Rep. Pete King","Representing New York's 2nd Congressional District",34206,2551,102,"Sun Dec 21 02:49:32 +0000 2008","Seaford, New York","K000210","00635","Peter T. King","M","Congress","Republican",NA,"RepPeterKing","rep"
"reppeteolson","20053279","RepPeteOlson","Rep. Pete Olson","Proudly representing TX-22 in Congress. Follow me on Facebook: http://t.co/2aP7aRlj3f and Instagram: https://t.co/hBZNAgZcuI",8809,6640,2152,"Wed Feb 04 13:40:57 +0000 2009","Washington, DC / Houston, TX","O000168","01955","Pete Olson","M","Congress","Republican","Rep.PeteOlson",NA,"rep"
